,comment,label.id,label.lineage_names,label.name,label.uuid,needs_review,point.id,point.is_targeted,point.media.deployment.campaign.key,point.media.deployment.key,point.media.id,point.media.key,point.media.path_best,point.pose.dep,point.pose.lat,point.pose.lon,point.pose.timestamp,tag_names,updated_at
0,,28565,Habitat Classification > Unconsolidated,Unconsolidated,4fa5ce3c-49fc-4484-9f00-95c347733214,False,9866290,True,RLS_Port Phillip Bay_2009,3000223,5262918,15PPB4m061209PortseaPier_RSS (8).JPG,https://rls.tpac.org.au/pq/3000223/15PPB4m061209PortseaPier_RSS%20(8).JPG/,4.0,-38.31982,144.71,2009-12-06 00:00:00,Secondary,2024-07-30 07:22:54.603994
1,,28563,Habitat Classification > Sand/silt,Sand/silt,0c6de128-85c5-4878-9bca-d150203aadc3,False,9866294,False,RLS_Port Phillip Bay_2009,3000226,5262944,JEH19_8m071209NepeanS_JEH (12).JPG,https://rls.tpac.org.au/pq/3000226/JEH19_8m071209NepeanS_JEH%20(12).JPG/,8.0,-38.29973,144.65,2009-12-07 00:00:00,,2024-07-30 07:24:51.090303
2,,28565,Habitat Classification > Unconsolidated,Unconsolidated,4fa5ce3c-49fc-4484-9f00-95c347733214,False,9866292,False,RLS_Port Phillip Bay_2009,3000223,5262920,15PPB4m061209PortseaPier_RSS (10).JPG,https://rls.tpac.org.au/pq/3000223/15PPB4m061209PortseaPier_RSS%20(10).JPG/,4.0,-38.319775,144.71,2009-12-06 00:00:00,,2024-07-30 07:24:05.532702
3,,28561,Habitat Classification > Mixed algae,Mixed algae,cc4da289-44e3-472d-a22c-f1114b079854,False,9866314,False,RLS_Port Phillip Heads_2019,912351346,5273118,PPH-S1_3mATC040219PtFranklin (23).JPG,https://rls.tpac.org.au/pq/912351346/PPH-S1_3mATC040219PtFranklin%20(23).JPG/,3.0,-38.3199775,144.72060857585794,2019-02-04 00:00:00,,2024-07-30 07:31:00.882531
4,,28557,Habitat Classification > Foliose algae,Foliose algae,07087ddf-b851-48c6-aef7-e6564c38ddb9,False,9866335,False,RLS_Port Phillip Bay_2009,3000206,5262778,JEH15_4m051209StLeonards_WCB (10).JPG,https://rls.tpac.org.au/pq/3000206/JEH15_4m051209StLeonards_WCB%20(10).JPG/,4.0,-38.169775,144.72,2009-12-05 00:00:00,,2024-07-30 07:47:53.297845
5,Inundated reef,28563,Habitat Classification > Sand/silt,Sand/silt,0c6de128-85c5-4878-9bca-d150203aadc3,True,9866387,False,RLS_New South Wales (Other)_2014,912345041,5423268,NSW49_4.5m071114AragunnuSouthernBay_AJG(9).JPG,https://rls.tpac.org.au/pq/912345041/NSW49_4.5m071114AragunnuSouthernBay_AJG(9).JPG/,4.5,-36.579977500000005,150.05046395895306,2014-11-07 00:00:09,,2024-07-30 08:07:30.202841
6,,28557,Habitat Classification > Foliose algae,Foliose algae,07087ddf-b851-48c6-aef7-e6564c38ddb9,False,9866340,False,RLS_Port Phillip Bay_2009,3000207,5262800,13PPB4_5m051209Cottage_JSS (12).JPG,https://rls.tpac.org.au/pq/3000207/13PPB4_5m051209Cottage_JSS%20(12).JPG/,4.5,-38.269729999999996,144.65,2009-12-05 00:00:00,,2024-07-30 07:50:27.697168
7,,28562,Habitat Classification > Other canopy forming,Other canopy forming,0d7eb2e7-eb75-46cb-92f6-926020adb996,False,9866351,False,RLS_Port Phillip Bay_2009,3000207,5262794,13PPB4_5m051209Cottage_JSS (6).JPG,https://rls.tpac.org.au/pq/3000207/13PPB4_5m051209Cottage_JSS%20(6).JPG/,4.5,-38.269865,144.65,2009-12-05 00:00:00,,2024-07-30 07:53:48.357955
8,,28561,Habitat Classification > Mixed algae,Mixed algae,cc4da289-44e3-472d-a22c-f1114b079854,False,9866368,False,RLS_Port Phillip Bay_2009,3000208,5262825,13PPB5m051209Cottage_RSS (20).JPG,https://rls.tpac.org.au/pq/3000208/13PPB5m051209Cottage_RSS%20(20).JPG/,5.0,-38.269729999999996,144.65,2009-12-05 00:00:00,,2024-07-30 07:58:41.653798
9,,28561,Habitat Classification > Mixed algae,Mixed algae,cc4da289-44e3-472d-a22c-f1114b079854,False,9866372,False,RLS_Port Phillip Bay_2009,3000208,5262816,13PPB5m051209Cottage_RSS (3).JPG,https://rls.tpac.org.au/pq/3000208/13PPB5m051209Cottage_RSS%20(3).JPG/,5.0,-38.2699325,144.65,2009-12-05 00:00:00,,2024-07-30 08:00:02.318066
10,,28567,Habitat Classification > Urchin barren > Centro barren,Centro barren,c3ada713-bfad-47e7-99bb-1ad5774b84da,False,9866381,False,RLS_New South Wales (Other)_2014,912345041,5423262,NSW49_4.5m071114AragunnuSouthernBay_AJG(3).JPG,https://rls.tpac.org.au/pq/912345041/NSW49_4.5m071114AragunnuSouthernBay_AJG(3).JPG/,4.5,-36.579977500000005,150.05015465298436,2014-11-07 00:00:03,,2024-07-30 08:05:30.866673
11,,28567,Habitat Classification > Urchin barren > Centro barren,Centro barren,c3ada713-bfad-47e7-99bb-1ad5774b84da,False,9866397,False,RLS_New South Wales (Other)_2014,912345041,5423276,NSW49_4.5m071114AragunnuSouthernBay_AJG(17).JPG,https://rls.tpac.org.au/pq/912345041/NSW49_4.5m071114AragunnuSouthernBay_AJG(17).JPG/,4.5,-36.579977500000005,150.05087636691133,2014-11-07 00:00:17,,2024-07-30 08:10:58.845632
12,,28613,Habitat Classification > Barren (no urchins),Barren (no urchins),83a7ef31-c756-4328-adff-a25caa5f626d,False,9866391,False,RLS_New South Wales (Other)_2014,912345041,5423272,NSW49_4.5m071114AragunnuSouthernBay_AJG(13).JPG,https://rls.tpac.org.au/pq/912345041/NSW49_4.5m071114AragunnuSouthernBay_AJG(13).JPG/,4.5,-36.579977500000005,150.0506701629322,2014-11-07 00:00:13,Primary,2024-07-30 08:08:54.926791
13,,28567,Habitat Classification > Urchin barren > Centro barren,Centro barren,c3ada713-bfad-47e7-99bb-1ad5774b84da,False,9866400,False,RLS_New South Wales (Other)_2014,912345041,5423279,NSW49_4.5m071114AragunnuSouthernBay_AJG(20).JPG,https://rls.tpac.org.au/pq/912345041/NSW49_4.5m071114AragunnuSouthernBay_AJG(20).JPG/,4.5,-36.579977500000005,150.05103101989567,2014-11-07 00:00:20,,2024-07-30 08:11:34.745548
14,,28567,Habitat Classification > Urchin barren > Centro barren,Centro barren,c3ada713-bfad-47e7-99bb-1ad5774b84da,False,9866408,False,RLS_New South Wales (Other)_2014,912345046,5423287,NSW49WCB5MAragunnuSouthernBay071114 (7).JPG,https://rls.tpac.org.au/pq/912345046/NSW49WCB5MAragunnuSouthernBay071114%20(7).JPG/,5.0,-36.57982,150.04963909281398,2014-11-07 00:00:07,,2024-07-30 08:13:07.377114
15,,28567,Habitat Classification > Urchin barren > Centro barren,Centro barren,c3ada713-bfad-47e7-99bb-1ad5774b84da,False,9866409,False,RLS_New South Wales (Other)_2014,912345046,5423288,NSW49WCB5MAragunnuSouthernBay071114 (8).JPG,https://rls.tpac.org.au/pq/912345046/NSW49WCB5MAragunnuSouthernBay071114%20(8).JPG/,5.0,-36.5797975,150.04958752507602,2014-11-07 00:00:08,,2024-07-30 08:13:16.950199
16,,28567,Habitat Classification > Urchin barren > Centro barren,Centro barren,c3ada713-bfad-47e7-99bb-1ad5774b84da,False,9866414,False,RLS_New South Wales (Other)_2014,912345046,5423293,NSW49WCB5MAragunnuSouthernBay071114 (13).JPG,https://rls.tpac.org.au/pq/912345046/NSW49WCB5MAragunnuSouthernBay071114%20(13).JPG/,5.0,-36.579685,150.0493296504881,2014-11-07 00:00:13,,2024-07-30 08:14:17.358897
17,,28567,Habitat Classification > Urchin barren > Centro barren,Centro barren,c3ada713-bfad-47e7-99bb-1ad5774b84da,False,9866418,False,RLS_New South Wales (Other)_2014,912345046,5423297,NSW49WCB5MAragunnuSouthernBay071114 (17).JPG,https://rls.tpac.org.au/pq/912345046/NSW49WCB5MAragunnuSouthernBay071114%20(17).JPG/,5.0,-36.579595,150.04912330772518,2014-11-07 00:00:17,,2024-07-30 08:14:49.211657
18,,28567,Habitat Classification > Urchin barren > Centro barren,Centro barren,c3ada713-bfad-47e7-99bb-1ad5774b84da,False,9866432,False,RLS_New South Wales (Other)_2014,912345066,5423310,NSW19WCB7MTheGantryBawleyPoint211214 (9).JPG,https://rls.tpac.org.au/pq/912345066/NSW19WCB7MTheGantryBawleyPoint211214%20(9).JPG/,8.0,-35.499775,150.39965553798157,2014-12-21 00:00:09,,2024-07-30 08:17:16.882538
19,,28567,Habitat Classification > Urchin barren > Centro barren,Centro barren,c3ada713-bfad-47e7-99bb-1ad5774b84da,False,9866433,False,RLS_New South Wales (Other)_2014,912345066,5423311,NSW19WCB7MTheGantryBawleyPoint211214 (10).JPG,https://rls.tpac.org.au/pq/912345066/NSW19WCB7MTheGantryBawleyPoint211214%20(10).JPG/,8.0,-35.4997525,150.39961727034816,2014-12-21 00:00:10,,2024-07-30 08:17:24.345080
