,comment,label.id,label.lineage_names,label.name,label.uuid,needs_review,point.id,point.is_targeted,point.media.deployment.campaign.key,point.media.deployment.key,point.media.id,point.media.key,point.media.path_best,point.pose.alt,point.pose.dep,point.pose.lat,point.pose.lon,point.pose.timestamp,tag_names,updated_at
0,,28559,Habitat Classification > Kelp forest (Ecklonia),Kelp forest (Ecklonia),e9629a40-b249-45bc-b2a5-ddba88a36e9c,False,9867938,False,Tasmania200810,r20081009_215637_littlehippoSE_12_transect,2248186,PR_20081009_235422_115_LC16,https://s3-ap-southeast-2.amazonaws.com/imos-data/IMOS/AUV/auv_viewer_data/images/Tasmania200810/r20081009_215637_littlehippoSE_12_transect/full_res/PR_20081009_235422_115_LC16.jpg,2.055,27.515940000000004,-43.12100347,148.0385,2008-10-09 23:54:22,,2024-08-01 03:23:04.456725
1,,28559,Habitat Classification > Kelp forest (Ecklonia),Kelp forest (Ecklonia),e9629a40-b249-45bc-b2a5-ddba88a36e9c,False,9870488,False,Tasmania200810,r20081009_215637_littlehippoSE_12_transect,2248211,PR_20081009_235447_115_LC16,https://s3-ap-southeast-2.amazonaws.com/imos-data/IMOS/AUV/auv_viewer_data/images/Tasmania200810/r20081009_215637_littlehippoSE_12_transect/full_res/PR_20081009_235447_115_LC16.jpg,2.135,27.13005,-43.12100417,148.03860417,2008-10-09 23:54:47,,2024-08-01 03:23:08.840440
2,,28559,Habitat Classification > Kelp forest (Ecklonia),Kelp forest (Ecklonia),e9629a40-b249-45bc-b2a5-ddba88a36e9c,False,9870489,False,Tasmania200810,r20081009_215637_littlehippoSE_12_transect,2248379,PR_20081009_235735_142_LC16,https://s3-ap-southeast-2.amazonaws.com/imos-data/IMOS/AUV/auv_viewer_data/images/Tasmania200810/r20081009_215637_littlehippoSE_12_transect/full_res/PR_20081009_235735_142_LC16.jpg,1.897,28.779058000000003,-43.12128889,148.03863056,2008-10-09 23:57:35,,2024-08-01 03:23:15.946961
3,,28559,Habitat Classification > Kelp forest (Ecklonia),Kelp forest (Ecklonia),e9629a40-b249-45bc-b2a5-ddba88a36e9c,False,9870491,False,Tasmania200810,r20081010_215228_blowhole_15_quadrep,2263366,PR_20081010_215950_467_LC16,https://s3-ap-southeast-2.amazonaws.com/imos-data/IMOS/AUV/auv_viewer_data/images/Tasmania200810/r20081010_215228_blowhole_15_quadrep/full_res/PR_20081010_215950_467_LC16.jpg,2.135,22.339489,-43.04050278,147.95587361,2008-10-10 21:59:50,,2024-08-01 03:23:24.409699
4,,28559,Habitat Classification > Kelp forest (Ecklonia),Kelp forest (Ecklonia),e9629a40-b249-45bc-b2a5-ddba88a36e9c,False,9870490,False,Tasmania200810,r20081010_215228_blowhole_15_quadrep,2263347,PR_20081010_215931_465_LC16,https://s3-ap-southeast-2.amazonaws.com/imos-data/IMOS/AUV/auv_viewer_data/images/Tasmania200810/r20081010_215228_blowhole_15_quadrep/full_res/PR_20081010_215931_465_LC16.jpg,2.112,22.390257000000002,-43.04049167,147.95585903,2008-10-10 21:59:31,,2024-08-01 03:23:20.399755
5,,28559,Habitat Classification > Kelp forest (Ecklonia),Kelp forest (Ecklonia),e9629a40-b249-45bc-b2a5-ddba88a36e9c,False,9870493,False,Tasmania200810,r20081010_215228_blowhole_15_quadrep,2263413,PR_20081010_220037_472_LC16,https://s3-ap-southeast-2.amazonaws.com/imos-data/IMOS/AUV/auv_viewer_data/images/Tasmania200810/r20081010_215228_blowhole_15_quadrep/full_res/PR_20081010_220037_472_LC16.jpg,1.845,24.227166,-43.04048889,147.95611389,2008-10-10 22:00:37,Primary,2024-08-01 03:23:53.278062
6,,28563,Habitat Classification > Sand/silt,Sand/silt,0c6de128-85c5-4878-9bca-d150203aadc3,False,9870635,False,Tasmania200810,r20081012_222152_pa_channel_17_trirep,2291918,PR_20081012_230633_801_LC16,https://s3-ap-southeast-2.amazonaws.com/imos-data/IMOS/AUV/auv_viewer_data/images/Tasmania200810/r20081012_222152_pa_channel_17_trirep/full_res/PR_20081012_230633_801_LC16.jpg,2.02,25.469606,-43.16495069,147.88725833,2008-10-12 23:06:33,,2024-08-01 04:26:25.262577
7,,28561,Habitat Classification > Mixed algae,Mixed algae,cc4da289-44e3-472d-a22c-f1114b079854,False,9870518,False,Tasmania200810,r20081010_215228_blowhole_15_quadrep,2267549,PR_20081010_230934_045_LC16,https://s3-ap-southeast-2.amazonaws.com/imos-data/IMOS/AUV/auv_viewer_data/images/Tasmania200810/r20081010_215228_blowhole_15_quadrep/full_res/PR_20081010_230934_045_LC16.jpg,2.06,25.555275,-43.04010833,147.95649167,2008-10-10 23:09:34,,2024-08-01 03:28:15.405618
8,,28557,Habitat Classification > Foliose algae,Foliose algae,07087ddf-b851-48c6-aef7-e6564c38ddb9,False,9870527,False,Tasmania200810,r20081010_215228_blowhole_15_quadrep,2267724,PR_20081010_231229_073_LC16,https://s3-ap-southeast-2.amazonaws.com/imos-data/IMOS/AUV/auv_viewer_data/images/Tasmania200810/r20081010_215228_blowhole_15_quadrep/full_res/PR_20081010_231229_073_LC16.jpg,1.923,22.727102,-43.03999236,147.95581458,2008-10-10 23:12:29,,2024-08-01 03:29:00.581135
9,,28559,Habitat Classification > Kelp forest (Ecklonia),Kelp forest (Ecklonia),e9629a40-b249-45bc-b2a5-ddba88a36e9c,False,9870539,False,Tasmania200810,r20081010_215228_blowhole_15_quadrep,2267919,PR_20081010_231544_099_LC16,https://s3-ap-southeast-2.amazonaws.com/imos-data/IMOS/AUV/auv_viewer_data/images/Tasmania200810/r20081010_215228_blowhole_15_quadrep/full_res/PR_20081010_231544_099_LC16.jpg,2.02,25.748519,-43.03966736,147.95643056,2008-10-10 23:15:44,,2024-08-01 03:35:57.124162
